Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,CGDENSE,0.00138442,0,100,0,32
GPU,CGDENSE,0.00129372,0,100,1,32
GPU,CGDENSE,0.00126537,0,100,2,32
GPU,CGDENSE,0.00124771,0,100,3,32
GPU,CGDENSE,0.00123645,0,100,4,32
CPU,CGDENSE,0.00027450,0,100,0,1
CPU,CGDENSE,0.00026745,0,100,1,1
CPU,CGDENSE,0.00026705,0,100,2,1
CPU,CGDENSE,0.00027135,0,100,3,1
CPU,CGDENSE,0.00026383,0,100,4,1
GPU,CGDENSE,0.00131241,1,100,0,32
GPU,CGDENSE,0.00129511,1,100,1,32
GPU,CGDENSE,0.00131527,1,100,2,32
GPU,CGDENSE,0.00128638,1,100,3,32
GPU,CGDENSE,0.00188835,1,100,4,32
CPU,CGDENSE,0.00000000,1,100,0,1
CPU,CGDENSE,0.00000000,1,100,1,1
CPU,CGDENSE,0.00000000,1,100,2,1
CPU,CGDENSE,0.00000000,1,100,3,1
CPU,CGDENSE,0.00000000,1,100,4,1
GPU,CGDENSE,0.00181635,0,200,0,32
GPU,CGDENSE,0.00177824,0,200,1,32
GPU,CGDENSE,0.00171755,0,200,2,32
GPU,CGDENSE,0.00171262,0,200,3,32
GPU,CGDENSE,0.00172793,0,200,4,32
CPU,CGDENSE,0.00109430,0,200,0,1
CPU,CGDENSE,0.00106888,0,200,1,1
CPU,CGDENSE,0.00106611,0,200,2,1
CPU,CGDENSE,0.00105887,0,200,3,1
CPU,CGDENSE,0.00106787,0,200,4,1
GPU,CGDENSE,0.00159315,1,200,0,32
GPU,CGDENSE,0.00154977,1,200,1,32
GPU,CGDENSE,0.00156390,1,200,2,32
GPU,CGDENSE,0.00257022,1,200,3,32
GPU,CGDENSE,0.00288470,1,200,4,32
CPU,CGDENSE,0.00000000,1,200,0,1
CPU,CGDENSE,0.00000000,1,200,1,1
CPU,CGDENSE,0.00000000,1,200,2,1
CPU,CGDENSE,0.00000000,1,200,3,1
CPU,CGDENSE,0.00000000,1,200,4,1
GPU,CGDENSE,0.00237371,0,400,0,32
GPU,CGDENSE,0.00236420,0,400,1,32
GPU,CGDENSE,0.00238800,0,400,2,32
GPU,CGDENSE,0.00235679,0,400,3,32
GPU,CGDENSE,0.00237796,0,400,4,32
CPU,CGDENSE,0.00432868,0,400,0,1
CPU,CGDENSE,0.00423696,0,400,1,1
CPU,CGDENSE,0.00427296,0,400,2,1
CPU,CGDENSE,0.00416767,0,400,3,1
CPU,CGDENSE,0.00422721,0,400,4,1
GPU,CGDENSE,0.00213878,1,400,0,32
GPU,CGDENSE,0.00213692,1,400,1,32
GPU,CGDENSE,0.00216478,1,400,2,32
GPU,CGDENSE,0.00215867,1,400,3,32
GPU,CGDENSE,0.00306431,1,400,4,32
CPU,CGDENSE,0.00000000,1,400,0,1
CPU,CGDENSE,0.00000000,1,400,1,1
CPU,CGDENSE,0.00000000,1,400,2,1
CPU,CGDENSE,0.00000000,1,400,3,1
CPU,CGDENSE,0.00000000,1,400,4,1
GPU,CGDENSE,0.00435134,0,800,0,32
GPU,CGDENSE,0.00427562,0,800,1,32
GPU,CGDENSE,0.00426902,0,800,2,32
GPU,CGDENSE,0.00433721,0,800,3,32
GPU,CGDENSE,0.00425553,0,800,4,32
CPU,CGDENSE,0.01866959,0,800,0,1
CPU,CGDENSE,0.01804125,0,800,1,1
CPU,CGDENSE,0.01779214,0,800,2,1
CPU,CGDENSE,0.01825386,0,800,3,1
CPU,CGDENSE,0.01789225,0,800,4,1
GPU,CGDENSE,0.00382736,1,800,0,32
GPU,CGDENSE,0.00380290,1,800,1,32
GPU,CGDENSE,0.00381295,1,800,2,32
GPU,CGDENSE,0.00383738,1,800,3,32
GPU,CGDENSE,0.00385218,1,800,4,32
CPU,CGDENSE,0.00000000,1,800,0,1
CPU,CGDENSE,0.00000000,1,800,1,1
CPU,CGDENSE,0.00000000,1,800,2,1
CPU,CGDENSE,0.00000000,1,800,3,1
CPU,CGDENSE,0.00000000,1,800,4,1
GPU,CGDENSE,0.01028013,0,1600,0,32
GPU,CGDENSE,0.01019036,0,1600,1,32
GPU,CGDENSE,0.01016351,0,1600,2,32
GPU,CGDENSE,0.01025113,0,1600,3,32
GPU,CGDENSE,0.01017046,0,1600,4,32
CPU,CGDENSE,0.08103733,0,1600,0,1
CPU,CGDENSE,0.08070083,0,1600,1,1
CPU,CGDENSE,0.08071645,0,1600,2,1
CPU,CGDENSE,0.08003199,0,1600,3,1
CPU,CGDENSE,0.08145172,0,1600,4,1
GPU,CGDENSE,0.01050757,1,1600,0,32
GPU,CGDENSE,0.01047804,1,1600,1,32
GPU,CGDENSE,0.01015496,1,1600,2,32
GPU,CGDENSE,0.00940883,1,1600,3,32
GPU,CGDENSE,0.00954157,1,1600,4,32
CPU,CGDENSE,0.00000000,1,1600,0,1
CPU,CGDENSE,0.00000000,1,1600,1,1
CPU,CGDENSE,0.00000000,1,1600,2,1
CPU,CGDENSE,0.00000000,1,1600,3,1
CPU,CGDENSE,0.00000000,1,1600,4,1
