Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,CGMF,0.02863915,0,50000,0,32
GPU,CGMF,0.02863013,0,50000,1,32
GPU,CGMF,0.02852993,0,50000,2,32
GPU,CGMF,0.02861129,0,50000,3,32
GPU,CGMF,0.02855324,0,50000,4,32
CPU,CGMF,0.01397251,0,50000,0,1
CPU,CGMF,0.01310933,0,50000,1,1
CPU,CGMF,0.01349374,0,50000,2,1
CPU,CGMF,0.01301989,0,50000,3,1
CPU,CGMF,0.01342654,0,50000,4,1
GPU,CGMF,0.00457436,1,50000,0,32
GPU,CGMF,0.00461790,1,50000,1,32
GPU,CGMF,0.00465680,1,50000,2,32
GPU,CGMF,0.00463634,1,50000,3,32
GPU,CGMF,0.00461110,1,50000,4,32
CPU,CGMF,0.00000000,1,50000,0,1
CPU,CGMF,0.00000000,1,50000,1,1
CPU,CGMF,0.00000000,1,50000,2,1
CPU,CGMF,0.00000000,1,50000,3,1
CPU,CGMF,0.00000000,1,50000,4,1
GPU,CGMF,0.05669619,0,100000,0,32
GPU,CGMF,0.05678265,0,100000,1,32
GPU,CGMF,0.05683194,0,100000,2,32
GPU,CGMF,0.05681672,0,100000,3,32
GPU,CGMF,0.05591424,0,100000,4,32
CPU,CGMF,0.03228796,0,100000,0,1
CPU,CGMF,0.02918901,0,100000,1,1
CPU,CGMF,0.02923946,0,100000,2,1
CPU,CGMF,0.02934909,0,100000,3,1
CPU,CGMF,0.02939940,0,100000,4,1
GPU,CGMF,0.00897580,1,100000,0,32
GPU,CGMF,0.00940894,1,100000,1,32
GPU,CGMF,0.00901858,1,100000,2,32
GPU,CGMF,0.00900098,1,100000,3,32
GPU,CGMF,0.01441702,1,100000,4,32
CPU,CGMF,0.00000000,1,100000,0,1
CPU,CGMF,0.00000000,1,100000,1,1
CPU,CGMF,0.00000000,1,100000,2,1
CPU,CGMF,0.00000000,1,100000,3,1
CPU,CGMF,0.00000000,1,100000,4,1
GPU,CGMF,0.10940678,0,200000,0,32
GPU,CGMF,0.10954833,0,200000,1,32
GPU,CGMF,0.10905893,0,200000,2,32
GPU,CGMF,0.10905367,0,200000,3,32
GPU,CGMF,0.10914234,0,200000,4,32
CPU,CGMF,0.06223785,0,200000,0,1
CPU,CGMF,0.05910942,0,200000,1,1
CPU,CGMF,0.05992009,0,200000,2,1
CPU,CGMF,0.06074359,0,200000,3,1
CPU,CGMF,0.06201083,0,200000,4,1
GPU,CGMF,0.02006152,1,200000,0,32
GPU,CGMF,0.01561233,1,200000,1,32
GPU,CGMF,0.01547746,1,200000,2,32
GPU,CGMF,0.01550521,1,200000,3,32
GPU,CGMF,0.01543167,1,200000,4,32
CPU,CGMF,0.00000000,1,200000,0,1
CPU,CGMF,0.00000000,1,200000,1,1
CPU,CGMF,0.00000000,1,200000,2,1
CPU,CGMF,0.00000000,1,200000,3,1
CPU,CGMF,0.00000000,1,200000,4,1
GPU,CGMF,0.21239738,0,400000,0,32
GPU,CGMF,0.21187629,0,400000,1,32
GPU,CGMF,0.21303118,0,400000,2,32
GPU,CGMF,0.21194964,0,400000,3,32
GPU,CGMF,0.21187716,0,400000,4,32
CPU,CGMF,0.11461977,0,400000,0,1
CPU,CGMF,0.11040008,0,400000,1,1
CPU,CGMF,0.11836033,0,400000,2,1
CPU,CGMF,0.12061052,0,400000,3,1
CPU,CGMF,0.12083901,0,400000,4,1
GPU,CGMF,0.02569499,1,400000,0,32
GPU,CGMF,0.02480611,1,400000,1,32
GPU,CGMF,0.02495548,1,400000,2,32
GPU,CGMF,0.02441773,1,400000,3,32
GPU,CGMF,0.02470166,1,400000,4,32
CPU,CGMF,0.00000000,1,400000,0,1
CPU,CGMF,0.00000000,1,400000,1,1
CPU,CGMF,0.00000000,1,400000,2,1
CPU,CGMF,0.00000000,1,400000,3,1
CPU,CGMF,0.00000000,1,400000,4,1
GPU,CGMF,0.06765758,0,800000,0,32
GPU,CGMF,0.06762555,0,800000,1,32
GPU,CGMF,0.06754580,0,800000,2,32
GPU,CGMF,0.06763080,0,800000,3,32
GPU,CGMF,0.06742979,0,800000,4,32
CPU,CGMF,0.25810113,0,800000,0,1
CPU,CGMF,0.25094916,0,800000,1,1
CPU,CGMF,0.25172002,0,800000,2,1
CPU,CGMF,0.23866123,0,800000,3,1
CPU,CGMF,0.25893358,0,800000,4,1
GPU,CGMF,0.01469354,1,800000,0,32
GPU,CGMF,0.01564525,1,800000,1,32
GPU,CGMF,0.01570878,1,800000,2,32
GPU,CGMF,0.01488135,1,800000,3,32
GPU,CGMF,0.01484476,1,800000,4,32
CPU,CGMF,0.00000000,1,800000,0,1
CPU,CGMF,0.00000000,1,800000,1,1
CPU,CGMF,0.00000000,1,800000,2,1
CPU,CGMF,0.00000000,1,800000,3,1
CPU,CGMF,0.00000000,1,800000,4,1
