Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,MATVEC,0.00006820,0,1000,0,32
GPU,MATVEC,0.00006506,0,1000,1,32
GPU,MATVEC,0.00006575,0,1000,2,32
GPU,MATVEC,0.00006511,0,1000,3,32
GPU,MATVEC,0.00006546,0,1000,4,32
CPU,MATVEC,0.00150882,0,1000,0,1
CPU,MATVEC,0.00148096,0,1000,1,1
CPU,MATVEC,0.00148700,0,1000,2,1
CPU,MATVEC,0.00149237,0,1000,3,1
CPU,MATVEC,0.00155527,0,1000,4,1
GPU,MATVEC,0.00007629,1,1000,0,32
GPU,MATVEC,0.00006022,1,1000,1,32
GPU,MATVEC,0.00006314,1,1000,2,32
GPU,MATVEC,0.00006050,1,1000,3,32
GPU,MATVEC,0.00005998,1,1000,4,32
CPU,MATVEC,0.00000000,1,1000,0,1
CPU,MATVEC,0.00000000,1,1000,1,1
CPU,MATVEC,0.00000000,1,1000,2,1
CPU,MATVEC,0.00000000,1,1000,3,1
CPU,MATVEC,0.00000000,1,1000,4,1
GPU,MATVEC,0.00027867,0,2000,0,32
GPU,MATVEC,0.00025914,0,2000,1,32
GPU,MATVEC,0.00025613,0,2000,2,32
GPU,MATVEC,0.00025432,0,2000,3,32
GPU,MATVEC,0.00025636,0,2000,4,32
CPU,MATVEC,0.00614506,0,2000,0,1
CPU,MATVEC,0.00617041,0,2000,1,1
CPU,MATVEC,0.00601527,0,2000,2,1
CPU,MATVEC,0.00614546,0,2000,3,1
CPU,MATVEC,0.00601732,0,2000,4,1
GPU,MATVEC,0.00018726,1,2000,0,32
GPU,MATVEC,0.00018714,1,2000,1,32
GPU,MATVEC,0.00018691,1,2000,2,32
GPU,MATVEC,0.00018647,1,2000,3,32
GPU,MATVEC,0.00018584,1,2000,4,32
CPU,MATVEC,0.00000000,1,2000,0,1
CPU,MATVEC,0.00000000,1,2000,1,1
CPU,MATVEC,0.00000000,1,2000,2,1
CPU,MATVEC,0.00000000,1,2000,3,1
CPU,MATVEC,0.00000000,1,2000,4,1
GPU,MATVEC,0.00052397,0,4000,0,32
GPU,MATVEC,0.00051904,0,4000,1,32
GPU,MATVEC,0.00051742,0,4000,2,32
GPU,MATVEC,0.00051959,0,4000,3,32
GPU,MATVEC,0.00051861,0,4000,4,32
CPU,MATVEC,0.02382584,0,4000,0,1
CPU,MATVEC,0.02376193,0,4000,1,1
CPU,MATVEC,0.02437020,0,4000,2,1
CPU,MATVEC,0.02430372,0,4000,3,1
CPU,MATVEC,0.02382474,0,4000,4,1
GPU,MATVEC,0.00044157,1,4000,0,32
GPU,MATVEC,0.00045006,1,4000,1,32
GPU,MATVEC,0.00043932,1,4000,2,32
GPU,MATVEC,0.00043801,1,4000,3,32
