Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,STENCIL,0.00001181,0,50000,0,32
GPU,STENCIL,0.00001083,0,50000,1,32
GPU,STENCIL,0.00001092,0,50000,2,32
GPU,STENCIL,0.00001015,0,50000,3,32
GPU,STENCIL,0.00001055,0,50000,4,32
CPU,STENCIL,0.00023860,0,50000,0,1
CPU,STENCIL,0.00021048,0,50000,1,1
CPU,STENCIL,0.00022796,0,50000,2,1
CPU,STENCIL,0.00021439,0,50000,3,1
CPU,STENCIL,0.00022000,0,50000,4,1
GPU,STENCIL,0.00001094,1,50000,0,32
GPU,STENCIL,0.00001084,1,50000,1,32
GPU,STENCIL,0.00001116,1,50000,2,32
GPU,STENCIL,0.00001018,1,50000,3,32
GPU,STENCIL,0.00001032,1,50000,4,32
CPU,STENCIL,0.00000000,1,50000,0,1
CPU,STENCIL,0.00000000,1,50000,1,1
CPU,STENCIL,0.00000000,1,50000,2,1
CPU,STENCIL,0.00000000,1,50000,3,1
CPU,STENCIL,0.00000000,1,50000,4,1
GPU,STENCIL,0.00001352,0,100000,0,32
GPU,STENCIL,0.00001278,0,100000,1,32
GPU,STENCIL,0.00001183,0,100000,2,32
GPU,STENCIL,0.00001270,0,100000,3,32
GPU,STENCIL,0.00001299,0,100000,4,32
CPU,STENCIL,0.00044267,0,100000,0,1
CPU,STENCIL,0.00042550,0,100000,1,1
CPU,STENCIL,0.00042515,0,100000,2,1
CPU,STENCIL,0.00043006,0,100000,3,1
CPU,STENCIL,0.00042492,0,100000,4,1
GPU,STENCIL,0.00001143,1,100000,0,32
GPU,STENCIL,0.00001134,1,100000,1,32
GPU,STENCIL,0.00001292,1,100000,2,32
GPU,STENCIL,0.00001319,1,100000,3,32
GPU,STENCIL,0.00001156,1,100000,4,32
CPU,STENCIL,0.00000000,1,100000,0,1
CPU,STENCIL,0.00000000,1,100000,1,1
CPU,STENCIL,0.00000000,1,100000,2,1
CPU,STENCIL,0.00000000,1,100000,3,1
CPU,STENCIL,0.00000000,1,100000,4,1
GPU,STENCIL,0.00001497,0,200000,0,32
GPU,STENCIL,0.00001489,0,200000,1,32
GPU,STENCIL,0.00001495,0,200000,2,32
GPU,STENCIL,0.00001554,0,200000,3,32
GPU,STENCIL,0.00001497,0,200000,4,32
CPU,STENCIL,0.00085734,0,200000,0,1
CPU,STENCIL,0.00084609,0,200000,1,1
CPU,STENCIL,0.00084455,0,200000,2,1
CPU,STENCIL,0.00084423,0,200000,3,1
CPU,STENCIL,0.00084454,0,200000,4,1
GPU,STENCIL,0.00001378,1,200000,0,32
GPU,STENCIL,0.00001352,1,200000,1,32
GPU,STENCIL,0.00001437,1,200000,2,32
GPU,STENCIL,0.00001396,1,200000,3,32
GPU,STENCIL,0.00001448,1,200000,4,32
CPU,STENCIL,0.00000000,1,200000,0,1
CPU,STENCIL,0.00000000,1,200000,1,1
CPU,STENCIL,0.00000000,1,200000,2,1
CPU,STENCIL,0.00000000,1,200000,3,1
CPU,STENCIL,0.00000000,1,200000,4,1
GPU,STENCIL,0.00002138,0,400000,0,32
GPU,STENCIL,0.00003124,0,400000,1,32
GPU,STENCIL,0.00001957,0,400000,2,32
GPU,STENCIL,0.00001972,0,400000,3,32
GPU,STENCIL,0.00003273,0,400000,4,32
CPU,STENCIL,0.00173732,0,400000,0,1
CPU,STENCIL,0.00171116,0,400000,1,1
CPU,STENCIL,0.00171993,0,400000,2,1
CPU,STENCIL,0.00170103,0,400000,3,1
CPU,STENCIL,0.00170334,0,400000,4,1
GPU,STENCIL,0.00001926,1,400000,0,32
