Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,ADDVEC,0.00000809,0,1000,0,32
GPU,ADDVEC,0.00000786,0,1000,1,32
GPU,ADDVEC,0.00000837,0,1000,2,32
GPU,ADDVEC,0.00000818,0,1000,3,32
GPU,ADDVEC,0.00000865,0,1000,4,32
CPU,ADDVEC,0.00000074,0,1000,0,1
CPU,ADDVEC,0.00000058,0,1000,1,1
CPU,ADDVEC,0.00000057,0,1000,2,1
CPU,ADDVEC,0.00000057,0,1000,3,1
CPU,ADDVEC,0.00000056,0,1000,4,1
GPU,ADDVEC,0.00000771,0,2000,0,32
GPU,ADDVEC,0.00000791,0,2000,1,32
GPU,ADDVEC,0.00000878,0,2000,2,32
GPU,ADDVEC,0.00000810,0,2000,3,32
GPU,ADDVEC,0.00000881,0,2000,4,32
CPU,ADDVEC,0.00000118,0,2000,0,1
CPU,ADDVEC,0.00000113,0,2000,1,1
CPU,ADDVEC,0.00000112,0,2000,2,1
CPU,ADDVEC,0.00000112,0,2000,3,1
CPU,ADDVEC,0.00000112,0,2000,4,1
GPU,ADDVEC,0.00000815,0,4000,0,32
GPU,ADDVEC,0.00000784,0,4000,1,32
GPU,ADDVEC,0.00000757,0,4000,2,32
GPU,ADDVEC,0.00000849,0,4000,3,32
GPU,ADDVEC,0.00001014,0,4000,4,32
CPU,ADDVEC,0.00000254,0,4000,0,1
CPU,ADDVEC,0.00000225,0,4000,1,1
CPU,ADDVEC,0.00000223,0,4000,2,1
CPU,ADDVEC,0.00000223,0,4000,3,1
CPU,ADDVEC,0.00000223,0,4000,4,1
GPU,ADDVEC,0.00000889,0,8000,0,32
GPU,ADDVEC,0.00000824,0,8000,1,32
GPU,ADDVEC,0.00000834,0,8000,2,32
GPU,ADDVEC,0.00000792,0,8000,3,32
GPU,ADDVEC,0.00000845,0,8000,4,32
CPU,ADDVEC,0.00000606,0,8000,0,1
CPU,ADDVEC,0.00000446,0,8000,1,1
CPU,ADDVEC,0.00000447,0,8000,2,1
CPU,ADDVEC,0.00000445,0,8000,3,1
CPU,ADDVEC,0.00000445,0,8000,4,1
GPU,ADDVEC,0.00000877,0,16000,0,32
GPU,ADDVEC,0.00000816,0,16000,1,32
GPU,ADDVEC,0.00000825,0,16000,2,32
GPU,ADDVEC,0.00000802,0,16000,3,32
GPU,ADDVEC,0.00000812,0,16000,4,32
CPU,ADDVEC,0.00001460,0,16000,0,1
CPU,ADDVEC,0.00000891,0,16000,1,1
CPU,ADDVEC,0.00000891,0,16000,2,1
CPU,ADDVEC,0.00000891,0,16000,3,1
CPU,ADDVEC,0.00000890,0,16000,4,1
GPU,ADDVEC,0.00000919,0,32000,0,32
GPU,ADDVEC,0.00000905,0,32000,1,32
GPU,ADDVEC,0.00000866,0,32000,2,32
GPU,ADDVEC,0.00000850,0,32000,3,32
GPU,ADDVEC,0.00000904,0,32000,4,32
CPU,ADDVEC,0.00002551,0,32000,0,1
CPU,ADDVEC,0.00001863,0,32000,1,1
CPU,ADDVEC,0.00001901,0,32000,2,1
CPU,ADDVEC,0.00001929,0,32000,3,1
CPU,ADDVEC,0.00001816,0,32000,4,1
GPU,ADDVEC,0.00000815,0,1000,0,64
GPU,ADDVEC,0.00000887,0,1000,1,64
GPU,ADDVEC,0.00000903,0,1000,2,64
GPU,ADDVEC,0.00000952,0,1000,3,64
GPU,ADDVEC,0.00000916,0,1000,4,64
CPU,ADDVEC,0.00000067,0,1000,0,1
CPU,ADDVEC,0.00000058,0,1000,1,1
CPU,ADDVEC,0.00000057,0,1000,2,1
CPU,ADDVEC,0.00000057,0,1000,3,1
CPU,ADDVEC,0.00000057,0,1000,4,1
GPU,ADDVEC,0.00000997,0,2000,0,64
GPU,ADDVEC,0.00000967,0,2000,1,64
GPU,ADDVEC,0.00000954,0,2000,2,64
GPU,ADDVEC,0.00000916,0,2000,3,64
GPU,ADDVEC,0.00001007,0,2000,4,64
CPU,ADDVEC,0.00000118,0,2000,0,1
CPU,ADDVEC,0.00000113,0,2000,1,1
CPU,ADDVEC,0.00000112,0,2000,2,1
CPU,ADDVEC,0.00000112,0,2000,3,1
CPU,ADDVEC,0.00000112,0,2000,4,1
GPU,ADDVEC,0.00001015,0,4000,0,64
GPU,ADDVEC,0.00001034,0,4000,1,64
GPU,ADDVEC,0.00000968,0,4000,2,64
GPU,ADDVEC,0.00000959,0,4000,3,64
GPU,ADDVEC,0.00000976,0,4000,4,64
CPU,ADDVEC,0.00000351,0,4000,0,1
CPU,ADDVEC,0.00000224,0,4000,1,1
CPU,ADDVEC,0.00000224,0,4000,2,1
CPU,ADDVEC,0.00000224,0,4000,3,1
CPU,ADDVEC,0.00000407,0,4000,4,1
GPU,ADDVEC,0.00000856,0,8000,0,64
GPU,ADDVEC,0.00000839,0,8000,1,64
GPU,ADDVEC,0.00000847,0,8000,2,64
GPU,ADDVEC,0.00000791,0,8000,3,64
GPU,ADDVEC,0.00000816,0,8000,4,64
CPU,ADDVEC,0.00000672,0,8000,0,1
CPU,ADDVEC,0.00000447,0,8000,1,1
CPU,ADDVEC,0.00000447,0,8000,2,1
CPU,ADDVEC,0.00000446,0,8000,3,1
CPU,ADDVEC,0.00000446,0,8000,4,1
GPU,ADDVEC,0.00001104,0,16000,0,64
GPU,ADDVEC,0.00000807,0,16000,1,64
GPU,ADDVEC,0.00000780,0,16000,2,64
GPU,ADDVEC,0.00000930,0,16000,3,64
GPU,ADDVEC,0.00000923,0,16000,4,64
CPU,ADDVEC,0.00001630,0,16000,0,1
CPU,ADDVEC,0.00000892,0,16000,1,1
CPU,ADDVEC,0.00000891,0,16000,2,1
CPU,ADDVEC,0.00000891,0,16000,3,1
CPU,ADDVEC,0.00001388,0,16000,4,1
GPU,ADDVEC,0.00000981,0,32000,0,64
GPU,ADDVEC,0.00000837,0,32000,1,64
GPU,ADDVEC,0.00000951,0,32000,2,64
GPU,ADDVEC,0.00000990,0,32000,3,64
GPU,ADDVEC,0.00001034,0,32000,4,64
CPU,ADDVEC,0.00003148,0,32000,0,1
CPU,ADDVEC,0.00001941,0,32000,1,1
CPU,ADDVEC,0.00003060,0,32000,2,1
CPU,ADDVEC,0.00002035,0,32000,3,1
