Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,DOTVEC,0.00003495,0,1000,0,32
GPU,DOTVEC,0.00003371,0,1000,1,32
GPU,DOTVEC,0.00003378,0,1000,2,32
GPU,DOTVEC,0.00003309,0,1000,3,32
GPU,DOTVEC,0.00003316,0,1000,4,32
CPU,DOTVEC,0.00000175,0,1000,0,1
CPU,DOTVEC,0.00000120,0,1000,1,1
CPU,DOTVEC,0.00000120,0,1000,2,1
CPU,DOTVEC,0.00000120,0,1000,3,1
CPU,DOTVEC,0.00000119,0,1000,4,1
GPU,DOTVEC,0.00001041,1,1000,0,32
GPU,DOTVEC,0.00000984,1,1000,1,32
GPU,DOTVEC,0.00001004,1,1000,2,32
GPU,DOTVEC,0.00000914,1,1000,3,32
GPU,DOTVEC,0.00001103,1,1000,4,32
CPU,DOTVEC,0.00000000,1,1000,0,1
CPU,DOTVEC,0.00000000,1,1000,1,1
CPU,DOTVEC,0.00000000,1,1000,2,1
CPU,DOTVEC,0.00000000,1,1000,3,1
CPU,DOTVEC,0.00000000,1,1000,4,1
GPU,DOTVEC,0.00006018,0,2000,0,32
GPU,DOTVEC,0.00006077,0,2000,1,32
GPU,DOTVEC,0.00005913,0,2000,2,32
GPU,DOTVEC,0.00005819,0,2000,3,32
GPU,DOTVEC,0.00005892,0,2000,4,32
CPU,DOTVEC,0.00000402,0,2000,0,1
CPU,DOTVEC,0.00000279,0,2000,1,1
CPU,DOTVEC,0.00000237,0,2000,2,1
CPU,DOTVEC,0.00000237,0,2000,3,1
CPU,DOTVEC,0.00000246,0,2000,4,1
GPU,DOTVEC,0.00001059,1,2000,0,32
GPU,DOTVEC,0.00001052,1,2000,1,32
GPU,DOTVEC,0.00000951,1,2000,2,32
GPU,DOTVEC,0.00001027,1,2000,3,32
GPU,DOTVEC,0.00001014,1,2000,4,32
CPU,DOTVEC,0.00000000,1,2000,0,1
CPU,DOTVEC,0.00000000,1,2000,1,1
CPU,DOTVEC,0.00000000,1,2000,2,1
CPU,DOTVEC,0.00000000,1,2000,3,1
CPU,DOTVEC,0.00000000,1,2000,4,1
GPU,DOTVEC,0.00010380,0,4000,0,32
GPU,DOTVEC,0.00010218,0,4000,1,32
GPU,DOTVEC,0.00010185,0,4000,2,32
GPU,DOTVEC,0.00010178,0,4000,3,32
GPU,DOTVEC,0.00010183,0,4000,4,32
CPU,DOTVEC,0.00000766,0,4000,0,1
CPU,DOTVEC,0.00000474,0,4000,1,1
CPU,DOTVEC,0.00000473,0,4000,2,1
CPU,DOTVEC,0.00000472,0,4000,3,1
CPU,DOTVEC,0.00000481,0,4000,4,1
GPU,DOTVEC,0.00000979,1,4000,0,32
GPU,DOTVEC,0.00000972,1,4000,1,32
GPU,DOTVEC,0.00000991,1,4000,2,32
GPU,DOTVEC,0.00001005,1,4000,3,32
GPU,DOTVEC,0.00001047,1,4000,4,32
CPU,DOTVEC,0.00000000,1,4000,0,1
CPU,DOTVEC,0.00000000,1,4000,1,1
CPU,DOTVEC,0.00000000,1,4000,2,1
CPU,DOTVEC,0.00000000,1,4000,3,1
CPU,DOTVEC,0.00000000,1,4000,4,1
GPU,DOTVEC,0.00020151,0,8000,0,32
GPU,DOTVEC,0.00019497,0,8000,1,32
GPU,DOTVEC,0.00019567,0,8000,2,32
GPU,DOTVEC,0.00019741,0,8000,3,32
GPU,DOTVEC,0.00019350,0,8000,4,32
CPU,DOTVEC,0.00001446,0,8000,0,1
CPU,DOTVEC,0.00001057,0,8000,1,1
CPU,DOTVEC,0.00000948,0,8000,2,1
CPU,DOTVEC,0.00000943,0,8000,3,1
CPU,DOTVEC,0.00000944,0,8000,4,1
GPU,DOTVEC,0.00001190,1,8000,0,32
GPU,DOTVEC,0.00001058,1,8000,1,32
GPU,DOTVEC,0.00000992,1,8000,2,32
GPU,DOTVEC,0.00000994,1,8000,3,32
GPU,DOTVEC,0.00001011,1,8000,4,32
CPU,DOTVEC,0.00000000,1,8000,0,1
CPU,DOTVEC,0.00000000,1,8000,1,1
CPU,DOTVEC,0.00000000,1,8000,2,1
CPU,DOTVEC,0.00000000,1,8000,3,1
CPU,DOTVEC,0.00000000,1,8000,4,1
GPU,DOTVEC,0.00037126,0,16000,0,32
GPU,DOTVEC,0.00037026,0,16000,1,32
GPU,DOTVEC,0.00036890,0,16000,2,32
GPU,DOTVEC,0.00037578,0,16000,3,32
GPU,DOTVEC,0.00037094,0,16000,4,32
CPU,DOTVEC,0.00002669,0,16000,0,1
CPU,DOTVEC,0.00001886,0,16000,1,1
CPU,DOTVEC,0.00001885,0,16000,2,1
CPU,DOTVEC,0.00001887,0,16000,3,1
CPU,DOTVEC,0.00001886,0,16000,4,1
GPU,DOTVEC,0.00001064,1,16000,0,32
GPU,DOTVEC,0.00001083,1,16000,1,32
GPU,DOTVEC,0.00001010,1,16000,2,32
GPU,DOTVEC,0.00001073,1,16000,3,32
GPU,DOTVEC,0.00000969,1,16000,4,32
CPU,DOTVEC,0.00000000,1,16000,0,1
CPU,DOTVEC,0.00000000,1,16000,1,1
CPU,DOTVEC,0.00000000,1,16000,2,1
CPU,DOTVEC,0.00000000,1,16000,3,1
CPU,DOTVEC,0.00000000,1,16000,4,1
GPU,DOTVEC,0.00073322,0,32000,0,32
GPU,DOTVEC,0.00072942,0,32000,1,32
GPU,DOTVEC,0.00073013,0,32000,2,32
GPU,DOTVEC,0.00072987,0,32000,3,32
GPU,DOTVEC,0.00072775,0,32000,4,32
CPU,DOTVEC,0.00004925,0,32000,0,1
CPU,DOTVEC,0.00003804,0,32000,1,1
CPU,DOTVEC,0.00003819,0,32000,2,1
CPU,DOTVEC,0.00003794,0,32000,3,1
CPU,DOTVEC,0.00003783,0,32000,4,1
GPU,DOTVEC,0.00001238,1,32000,0,32
GPU,DOTVEC,0.00001175,1,32000,1,32
GPU,DOTVEC,0.00001201,1,32000,2,32
GPU,DOTVEC,0.00001201,1,32000,3,32
GPU,DOTVEC,0.00001145,1,32000,4,32
CPU,DOTVEC,0.00000000,1,32000,0,1
CPU,DOTVEC,0.00000000,1,32000,1,1
