Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,CGDENSE,0.00110578,0,100,0,32
GPU,CGDENSE,0.00108288,0,100,1,32
GPU,CGDENSE,0.00107716,0,100,2,32
GPU,CGDENSE,0.00107481,0,100,3,32
GPU,CGDENSE,0.00107442,0,100,4,32
CPU,CGDENSE,0.00022623,0,100,0,1
CPU,CGDENSE,0.00022523,0,100,1,1
CPU,CGDENSE,0.00021570,0,100,2,1
CPU,CGDENSE,0.00022052,0,100,3,1
CPU,CGDENSE,0.00021153,0,100,4,1
GPU,CGDENSE,0.00107208,1,100,0,32
GPU,CGDENSE,0.00107572,1,100,1,32
GPU,CGDENSE,0.00107095,1,100,2,32
GPU,CGDENSE,0.00105639,1,100,3,32
GPU,CGDENSE,0.00104252,1,100,4,32
CPU,CGDENSE,0.00000000,1,100,0,1
CPU,CGDENSE,0.00000000,1,100,1,1
CPU,CGDENSE,0.00000000,1,100,2,1
CPU,CGDENSE,0.00000000,1,100,3,1
CPU,CGDENSE,0.00000000,1,100,4,1
GPU,CGDENSE,0.00143570,0,200,0,32
GPU,CGDENSE,0.00142177,0,200,1,32
GPU,CGDENSE,0.00144316,0,200,2,32
GPU,CGDENSE,0.00143800,0,200,3,32
GPU,CGDENSE,0.00144897,0,200,4,32
CPU,CGDENSE,0.00094214,0,200,0,1
CPU,CGDENSE,0.00091373,0,200,1,1
CPU,CGDENSE,0.00089486,0,200,2,1
CPU,CGDENSE,0.00089031,0,200,3,1
CPU,CGDENSE,0.00089972,0,200,4,1
GPU,CGDENSE,0.00125842,1,200,0,32
GPU,CGDENSE,0.00120409,1,200,1,32
GPU,CGDENSE,0.00124142,1,200,2,32
GPU,CGDENSE,0.00121719,1,200,3,32
GPU,CGDENSE,0.00121066,1,200,4,32
CPU,CGDENSE,0.00000000,1,200,0,1
CPU,CGDENSE,0.00000000,1,200,1,1
CPU,CGDENSE,0.00000000,1,200,2,1
CPU,CGDENSE,0.00000000,1,200,3,1
CPU,CGDENSE,0.00000000,1,200,4,1
GPU,CGDENSE,0.00201127,0,400,0,32
GPU,CGDENSE,0.00199639,0,400,1,32
GPU,CGDENSE,0.00198350,0,400,2,32
GPU,CGDENSE,0.00195923,0,400,3,32
GPU,CGDENSE,0.00198082,0,400,4,32
CPU,CGDENSE,0.00390765,0,400,0,1
CPU,CGDENSE,0.00366162,0,400,1,1
CPU,CGDENSE,0.00357756,0,400,2,1
CPU,CGDENSE,0.00354394,0,400,3,1
CPU,CGDENSE,0.00357929,0,400,4,1
GPU,CGDENSE,0.00176379,1,400,0,32
GPU,CGDENSE,0.00175634,1,400,1,32
GPU,CGDENSE,0.00175363,1,400,2,32
