Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,CGMF,0.00152894,0,1000,0,32
GPU,CGMF,0.00187074,0,1000,1,32
GPU,CGMF,0.00150283,0,1000,2,32
GPU,CGMF,0.00153346,0,1000,3,32
GPU,CGMF,0.00150822,0,1000,4,32
CPU,CGMF,0.00027595,0,1000,0,1
CPU,CGMF,0.00018997,0,1000,1,1
CPU,CGMF,0.00019232,0,1000,2,1
CPU,CGMF,0.00017417,0,1000,3,1
CPU,CGMF,0.00016640,0,1000,4,1
GPU,CGMF,0.00097165,1,1000,0,32
GPU,CGMF,0.00094013,1,1000,1,32
GPU,CGMF,0.00094498,1,1000,2,32
GPU,CGMF,0.00094001,1,1000,3,32
GPU,CGMF,0.00095320,1,1000,4,32
CPU,CGMF,0.00000000,1,1000,0,1
CPU,CGMF,0.00000000,1,1000,1,1
CPU,CGMF,0.00000000,1,1000,2,1
CPU,CGMF,0.00000000,1,1000,3,1
CPU,CGMF,0.00000000,1,1000,4,1
GPU,CGMF,0.00214338,0,2000,0,32
GPU,CGMF,0.00244906,0,2000,1,32
GPU,CGMF,0.00211884,0,2000,2,32
GPU,CGMF,0.00213395,0,2000,3,32
GPU,CGMF,0.00210554,0,2000,4,32
CPU,CGMF,0.00050908,0,2000,0,1
CPU,CGMF,0.00035038,0,2000,1,1
CPU,CGMF,0.00032793,0,2000,2,1
CPU,CGMF,0.00032754,0,2000,3,1
CPU,CGMF,0.00033167,0,2000,4,1
GPU,CGMF,0.00106427,1,2000,0,32
GPU,CGMF,0.00104817,1,2000,1,32
GPU,CGMF,0.00105731,1,2000,2,32
GPU,CGMF,0.00104431,1,2000,3,32
GPU,CGMF,0.00103951,1,2000,4,32
CPU,CGMF,0.00000000,1,2000,0,1
CPU,CGMF,0.00000000,1,2000,1,1
CPU,CGMF,0.00000000,1,2000,2,1
CPU,CGMF,0.00000000,1,2000,3,1
CPU,CGMF,0.00000000,1,2000,4,1
GPU,CGMF,0.00314394,0,4000,0,32
GPU,CGMF,0.00309896,0,4000,1,32
GPU,CGMF,0.00305578,0,4000,2,32
GPU,CGMF,0.00306307,0,4000,3,32
GPU,CGMF,0.00307344,0,4000,4,32
CPU,CGMF,0.00073484,0,4000,0,1
CPU,CGMF,0.00068421,0,4000,1,1
CPU,CGMF,0.00067048,0,4000,2,1
CPU,CGMF,0.00066699,0,4000,3,1
CPU,CGMF,0.00065269,0,4000,4,1
GPU,CGMF,0.00121925,1,4000,0,32
GPU,CGMF,0.00116411,1,4000,1,32
GPU,CGMF,0.00121199,1,4000,2,32
GPU,CGMF,0.00117610,1,4000,3,32
GPU,CGMF,0.00116739,1,4000,4,32
CPU,CGMF,0.00000000,1,4000,0,1
CPU,CGMF,0.00000000,1,4000,1,1
CPU,CGMF,0.00000000,1,4000,2,1
CPU,CGMF,0.00000000,1,4000,3,1
CPU,CGMF,0.00000000,1,4000,4,1
GPU,CGMF,0.00515351,0,8000,0,32
GPU,CGMF,0.00507874,0,8000,1,32
GPU,CGMF,0.00510721,0,8000,2,32
GPU,CGMF,0.00513065,0,8000,3,32
GPU,CGMF,0.00511821,0,8000,4,32
CPU,CGMF,0.00142451,0,8000,0,1
CPU,CGMF,0.00135548,0,8000,1,1
CPU,CGMF,0.00134605,0,8000,2,1
CPU,CGMF,0.00135743,0,8000,3,1
CPU,CGMF,0.00133148,0,8000,4,1
GPU,CGMF,0.00043677,1,8000,0,32
GPU,CGMF,0.00042320,1,8000,1,32
GPU,CGMF,0.00041707,1,8000,2,32
GPU,CGMF,0.00043666,1,8000,3,32
GPU,CGMF,0.00041606,1,8000,4,32
CPU,CGMF,0.00000000,1,8000,0,1
CPU,CGMF,0.00000000,1,8000,1,1
CPU,CGMF,0.00000000,1,8000,2,1
CPU,CGMF,0.00000000,1,8000,3,1
CPU,CGMF,0.00000000,1,8000,4,1
GPU,CGMF,0.00961081,0,16000,0,32
GPU,CGMF,0.00954437,0,16000,1,32
GPU,CGMF,0.00946417,0,16000,2,32
GPU,CGMF,0.00944928,0,16000,3,32
GPU,CGMF,0.00940795,0,16000,4,32
CPU,CGMF,0.00302644,0,16000,0,1
CPU,CGMF,0.00261309,0,16000,1,1
CPU,CGMF,0.00261291,0,16000,2,1
CPU,CGMF,0.00270431,0,16000,3,1
CPU,CGMF,0.00259433,0,16000,4,1
GPU,CGMF,0.00061455,1,16000,0,32
GPU,CGMF,0.00058704,1,16000,1,32
GPU,CGMF,0.00057873,1,16000,2,32
GPU,CGMF,0.00057587,1,16000,3,32
GPU,CGMF,0.00057628,1,16000,4,32
CPU,CGMF,0.00000000,1,16000,0,1
CPU,CGMF,0.00000000,1,16000,1,1
CPU,CGMF,0.00000000,1,16000,2,1
CPU,CGMF,0.00000000,1,16000,3,1
CPU,CGMF,0.00000000,1,16000,4,1
GPU,CGMF,0.01811801,0,32000,0,32
GPU,CGMF,0.01799170,0,32000,1,32
GPU,CGMF,0.01787914,0,32000,2,32
GPU,CGMF,0.01781262,0,32000,3,32
GPU,CGMF,0.01775989,0,32000,4,32
CPU,CGMF,0.00553962,0,32000,0,1
CPU,CGMF,0.00507029,0,32000,1,1
CPU,CGMF,0.00505371,0,32000,2,1
CPU,CGMF,0.00508227,0,32000,3,1
CPU,CGMF,0.00513599,0,32000,4,1
GPU,CGMF,0.00278789,1,32000,0,32
GPU,CGMF,0.00281918,1,32000,1,32
GPU,CGMF,0.00323017,1,32000,2,32
GPU,CGMF,0.00281745,1,32000,3,32
GPU,CGMF,0.00281580,1,32000,4,32
CPU,CGMF,0.00000000,1,32000,0,1
CPU,CGMF,0.00000000,1,32000,1,1
CPU,CGMF,0.00000000,1,32000,2,1
CPU,CGMF,0.00000000,1,32000,3,1
CPU,CGMF,0.00000000,1,32000,4,1
