Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,MATVEC,0.00006417,0,1000,0,32
GPU,MATVEC,0.00006487,0,1000,1,32
GPU,MATVEC,0.00006462,0,1000,2,32
GPU,MATVEC,0.00006415,0,1000,3,32
GPU,MATVEC,0.00006423,0,1000,4,32
CPU,MATVEC,0.00131438,0,1000,0,1
CPU,MATVEC,0.00116096,0,1000,1,1
CPU,MATVEC,0.00110204,0,1000,2,1
CPU,MATVEC,0.00110480,0,1000,3,1
CPU,MATVEC,0.00110143,0,1000,4,1
GPU,MATVEC,0.00006050,1,1000,0,32
GPU,MATVEC,0.00006022,1,1000,1,32
GPU,MATVEC,0.00005976,1,1000,2,32
GPU,MATVEC,0.00005945,1,1000,3,32
GPU,MATVEC,0.00005982,1,1000,4,32
CPU,MATVEC,0.00000000,1,1000,0,1
CPU,MATVEC,0.00000000,1,1000,1,1
CPU,MATVEC,0.00000000,1,1000,2,1
CPU,MATVEC,0.00000000,1,1000,3,1
CPU,MATVEC,0.00000000,1,1000,4,1
GPU,MATVEC,0.00026803,0,2000,0,32
GPU,MATVEC,0.00025390,0,2000,1,32
GPU,MATVEC,0.00025348,0,2000,2,32
GPU,MATVEC,0.00025284,0,2000,3,32
GPU,MATVEC,0.00025401,0,2000,4,32
CPU,MATVEC,0.00486213,0,2000,0,1
CPU,MATVEC,0.00502690,0,2000,1,1
CPU,MATVEC,0.00493481,0,2000,2,1
CPU,MATVEC,0.00485526,0,2000,3,1
CPU,MATVEC,0.00484034,0,2000,4,1
GPU,MATVEC,0.00018327,1,2000,0,32
GPU,MATVEC,0.00018090,1,2000,1,32
GPU,MATVEC,0.00018114,1,2000,2,32
GPU,MATVEC,0.00018264,1,2000,3,32
GPU,MATVEC,0.00018258,1,2000,4,32
CPU,MATVEC,0.00000000,1,2000,0,1
CPU,MATVEC,0.00000000,1,2000,1,1
CPU,MATVEC,0.00000000,1,2000,2,1
CPU,MATVEC,0.00000000,1,2000,3,1
CPU,MATVEC,0.00000000,1,2000,4,1
GPU,MATVEC,0.00051124,0,4000,0,32
GPU,MATVEC,0.00051013,0,4000,1,32
GPU,MATVEC,0.00051054,0,4000,2,32
GPU,MATVEC,0.00051162,0,4000,3,32
GPU,MATVEC,0.00051091,0,4000,4,32
CPU,MATVEC,0.01933202,0,4000,0,1
CPU,MATVEC,0.01933245,0,4000,1,1
CPU,MATVEC,0.01946188,0,4000,2,1
CPU,MATVEC,0.01929483,0,4000,3,1
CPU,MATVEC,0.01931013,0,4000,4,1
GPU,MATVEC,0.00043269,1,4000,0,32
GPU,MATVEC,0.00043530,1,4000,1,32
GPU,MATVEC,0.00043249,1,4000,2,32
GPU,MATVEC,0.00043736,1,4000,3,32
GPU,MATVEC,0.00043054,1,4000,4,32
CPU,MATVEC,0.00000000,1,4000,0,1
CPU,MATVEC,0.00000000,1,4000,1,1
CPU,MATVEC,0.00000000,1,4000,2,1
CPU,MATVEC,0.00000000,1,4000,3,1
CPU,MATVEC,0.00000000,1,4000,4,1
GPU,MATVEC,0.00109892,0,8000,0,32
GPU,MATVEC,0.00109940,0,8000,1,32
GPU,MATVEC,0.00109810,0,8000,2,32
GPU,MATVEC,0.00110034,0,8000,3,32
GPU,MATVEC,0.00109697,0,8000,4,32
CPU,MATVEC,0.07718078,0,8000,0,1
CPU,MATVEC,0.07689283,0,8000,1,1
CPU,MATVEC,0.07667731,0,8000,2,1
CPU,MATVEC,0.07709910,0,8000,3,1
CPU,MATVEC,0.07705311,0,8000,4,1
GPU,MATVEC,0.00097126,1,8000,0,32
GPU,MATVEC,0.00097243,1,8000,1,32
GPU,MATVEC,0.00096668,1,8000,2,32
GPU,MATVEC,0.00097130,1,8000,3,32
GPU,MATVEC,0.00096470,1,8000,4,32
CPU,MATVEC,0.00000000,1,8000,0,1
CPU,MATVEC,0.00000000,1,8000,1,1
CPU,MATVEC,0.00000000,1,8000,2,1
CPU,MATVEC,0.00000000,1,8000,3,1
CPU,MATVEC,0.00000000,1,8000,4,1
