Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,STENCIL,0.00001169,0,50000,0,32
GPU,STENCIL,0.00001090,0,50000,1,32
GPU,STENCIL,0.00000996,0,50000,2,32
GPU,STENCIL,0.00001042,0,50000,3,32
GPU,STENCIL,0.00001012,0,50000,4,32
CPU,STENCIL,0.00026321,0,50000,0,1
CPU,STENCIL,0.00025113,0,50000,1,1
CPU,STENCIL,0.00025639,0,50000,2,1
CPU,STENCIL,0.00024965,0,50000,3,1
CPU,STENCIL,0.00024990,0,50000,4,1
GPU,STENCIL,0.00001003,1,50000,0,32
GPU,STENCIL,0.00000985,1,50000,1,32
GPU,STENCIL,0.00001131,1,50000,2,32
GPU,STENCIL,0.00001073,1,50000,3,32
GPU,STENCIL,0.00001001,1,50000,4,32
CPU,STENCIL,0.00000000,1,50000,0,1
CPU,STENCIL,0.00000000,1,50000,1,1
CPU,STENCIL,0.00000000,1,50000,2,1
CPU,STENCIL,0.00000000,1,50000,3,1
CPU,STENCIL,0.00000000,1,50000,4,1
GPU,STENCIL,0.00001301,0,100000,0,32
GPU,STENCIL,0.00001239,0,100000,1,32
GPU,STENCIL,0.00001271,0,100000,2,32
GPU,STENCIL,0.00001267,0,100000,3,32
GPU,STENCIL,0.00001203,0,100000,4,32
CPU,STENCIL,0.00049629,0,100000,0,1
CPU,STENCIL,0.00049139,0,100000,1,1
CPU,STENCIL,0.00048301,0,100000,2,1
CPU,STENCIL,0.00048754,0,100000,3,1
CPU,STENCIL,0.00048133,0,100000,4,1
GPU,STENCIL,0.00001174,1,100000,0,32
GPU,STENCIL,0.00001240,1,100000,1,32
GPU,STENCIL,0.00001155,1,100000,2,32
GPU,STENCIL,0.00001145,1,100000,3,32
GPU,STENCIL,0.00001114,1,100000,4,32
CPU,STENCIL,0.00000000,1,100000,0,1
CPU,STENCIL,0.00000000,1,100000,1,1
CPU,STENCIL,0.00000000,1,100000,2,1
CPU,STENCIL,0.00000000,1,100000,3,1
CPU,STENCIL,0.00000000,1,100000,4,1
GPU,STENCIL,0.00001479,0,200000,0,32
GPU,STENCIL,0.00001463,0,200000,1,32
GPU,STENCIL,0.00001447,0,200000,2,32
GPU,STENCIL,0.00001456,0,200000,3,32
GPU,STENCIL,0.00001529,0,200000,4,32
CPU,STENCIL,0.00097517,0,200000,0,1
CPU,STENCIL,0.00096837,0,200000,1,1
CPU,STENCIL,0.00096461,0,200000,2,1
CPU,STENCIL,0.00096111,0,200000,3,1
CPU,STENCIL,0.00096324,0,200000,4,1
GPU,STENCIL,0.00001390,1,200000,0,32
GPU,STENCIL,0.00001377,1,200000,1,32
GPU,STENCIL,0.00001374,1,200000,2,32
GPU,STENCIL,0.00001312,1,200000,3,32
GPU,STENCIL,0.00001338,1,200000,4,32
CPU,STENCIL,0.00000000,1,200000,0,1
CPU,STENCIL,0.00000000,1,200000,1,1
CPU,STENCIL,0.00000000,1,200000,2,1
CPU,STENCIL,0.00000000,1,200000,3,1
CPU,STENCIL,0.00000000,1,200000,4,1
GPU,STENCIL,0.00002130,0,400000,0,32
GPU,STENCIL,0.00002020,0,400000,1,32
GPU,STENCIL,0.00001979,0,400000,2,32
GPU,STENCIL,0.00002874,0,400000,3,32
GPU,STENCIL,0.00002010,0,400000,4,32
CPU,STENCIL,0.00197181,0,400000,0,1
CPU,STENCIL,0.00198822,0,400000,1,1
CPU,STENCIL,0.00192866,0,400000,2,1
CPU,STENCIL,0.00192834,0,400000,3,1
CPU,STENCIL,0.00192296,0,400000,4,1
GPU,STENCIL,0.00001898,1,400000,0,32
GPU,STENCIL,0.00001843,1,400000,1,32
GPU,STENCIL,0.00001883,1,400000,2,32
GPU,STENCIL,0.00001817,1,400000,3,32
GPU,STENCIL,0.00001861,1,400000,4,32
CPU,STENCIL,0.00000000,1,400000,0,1
CPU,STENCIL,0.00000000,1,400000,1,1
CPU,STENCIL,0.00000000,1,400000,2,1
CPU,STENCIL,0.00000000,1,400000,3,1
CPU,STENCIL,0.00000000,1,400000,4,1
GPU,STENCIL,0.00003102,0,800000,0,32
GPU,STENCIL,0.00002927,0,800000,1,32
GPU,STENCIL,0.00004275,0,800000,2,32
GPU,STENCIL,0.00002926,0,800000,3,32
GPU,STENCIL,0.00002981,0,800000,4,32
CPU,STENCIL,0.00388713,0,800000,0,1
CPU,STENCIL,0.00373720,0,800000,1,1
CPU,STENCIL,0.00376425,0,800000,2,1
CPU,STENCIL,0.00368811,0,800000,3,1
CPU,STENCIL,0.00369790,0,800000,4,1
GPU,STENCIL,0.00002768,1,800000,0,32
