Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,ADDVEC,0.00000932,0,1000,0,32
GPU,ADDVEC,0.00000940,0,1000,1,32
GPU,ADDVEC,0.00000962,0,1000,2,32
GPU,ADDVEC,0.00000963,0,1000,3,32
GPU,ADDVEC,0.00000989,0,1000,4,32
CPU,ADDVEC,0.00000053,0,1000,0,1
CPU,ADDVEC,0.00000045,0,1000,1,1
CPU,ADDVEC,0.00000044,0,1000,2,1
CPU,ADDVEC,0.00000043,0,1000,3,1
CPU,ADDVEC,0.00000044,0,1000,4,1
GPU,ADDVEC,0.00000812,0,2000,0,32
GPU,ADDVEC,0.00000785,0,2000,1,32
GPU,ADDVEC,0.00000897,0,2000,2,32
GPU,ADDVEC,0.00000799,0,2000,3,32
GPU,ADDVEC,0.00000791,0,2000,4,32
CPU,ADDVEC,0.00000097,0,2000,0,1
CPU,ADDVEC,0.00000091,0,2000,1,1
CPU,ADDVEC,0.00000090,0,2000,2,1
CPU,ADDVEC,0.00000091,0,2000,3,1
CPU,ADDVEC,0.00000089,0,2000,4,1
GPU,ADDVEC,0.00000851,0,4000,0,32
GPU,ADDVEC,0.00000914,0,4000,1,32
GPU,ADDVEC,0.00000777,0,4000,2,32
GPU,ADDVEC,0.00000841,0,4000,3,32
GPU,ADDVEC,0.00000893,0,4000,4,32
CPU,ADDVEC,0.00000227,0,4000,0,1
CPU,ADDVEC,0.00000180,0,4000,1,1
CPU,ADDVEC,0.00000179,0,4000,2,1
CPU,ADDVEC,0.00000178,0,4000,3,1
CPU,ADDVEC,0.00000176,0,4000,4,1
GPU,ADDVEC,0.00000834,0,8000,0,32
GPU,ADDVEC,0.00000798,0,8000,1,32
GPU,ADDVEC,0.00000808,0,8000,2,32
GPU,ADDVEC,0.00000821,0,8000,3,32
GPU,ADDVEC,0.00000806,0,8000,4,32
CPU,ADDVEC,0.00000766,0,8000,0,1
CPU,ADDVEC,0.00000358,0,8000,1,1
CPU,ADDVEC,0.00000355,0,8000,2,1
CPU,ADDVEC,0.00000353,0,8000,3,1
CPU,ADDVEC,0.00000354,0,8000,4,1
GPU,ADDVEC,0.00000866,0,16000,0,32
GPU,ADDVEC,0.00000900,0,16000,1,32
GPU,ADDVEC,0.00000876,0,16000,2,32
GPU,ADDVEC,0.00000812,0,16000,3,32
GPU,ADDVEC,0.00000817,0,16000,4,32
CPU,ADDVEC,0.00001504,0,16000,0,1
CPU,ADDVEC,0.00000708,0,16000,1,1
CPU,ADDVEC,0.00000709,0,16000,2,1
CPU,ADDVEC,0.00000708,0,16000,3,1
CPU,ADDVEC,0.00000705,0,16000,4,1
GPU,ADDVEC,0.00000979,0,32000,0,32
GPU,ADDVEC,0.00000893,0,32000,1,32
GPU,ADDVEC,0.00000902,0,32000,2,32
GPU,ADDVEC,0.00000850,0,32000,3,32
GPU,ADDVEC,0.00000876,0,32000,4,32
CPU,ADDVEC,0.00002979,0,32000,0,1
CPU,ADDVEC,0.00001558,0,32000,1,1
CPU,ADDVEC,0.00001476,0,32000,2,1
CPU,ADDVEC,0.00001434,0,32000,3,1
CPU,ADDVEC,0.00001440,0,32000,4,1
