Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,DOTVEC,0.00003279,0,1000,0,32
GPU,DOTVEC,0.00003216,0,1000,1,32
GPU,DOTVEC,0.00003268,0,1000,2,32
GPU,DOTVEC,0.00003246,0,1000,3,32
GPU,DOTVEC,0.00003314,0,1000,4,32
CPU,DOTVEC,0.00000116,0,1000,0,1
CPU,DOTVEC,0.00000113,0,1000,1,1
CPU,DOTVEC,0.00000112,0,1000,2,1
CPU,DOTVEC,0.00000112,0,1000,3,1
CPU,DOTVEC,0.00000112,0,1000,4,1
GPU,DOTVEC,0.00000912,1,1000,0,32
GPU,DOTVEC,0.00001034,1,1000,1,32
GPU,DOTVEC,0.00001028,1,1000,2,32
GPU,DOTVEC,0.00000966,1,1000,3,32
GPU,DOTVEC,0.00001050,1,1000,4,32
CPU,DOTVEC,0.00000000,1,1000,0,1
CPU,DOTVEC,0.00000000,1,1000,1,1
CPU,DOTVEC,0.00000000,1,1000,2,1
CPU,DOTVEC,0.00000000,1,1000,3,1
CPU,DOTVEC,0.00000000,1,1000,4,1
GPU,DOTVEC,0.00005579,0,2000,0,32
GPU,DOTVEC,0.00005524,0,2000,1,32
GPU,DOTVEC,0.00005544,0,2000,2,32
GPU,DOTVEC,0.00005506,0,2000,3,32
GPU,DOTVEC,0.00005510,0,2000,4,32
CPU,DOTVEC,0.00000228,0,2000,0,1
CPU,DOTVEC,0.00000223,0,2000,1,1
CPU,DOTVEC,0.00000224,0,2000,2,1
CPU,DOTVEC,0.00000223,0,2000,3,1
CPU,DOTVEC,0.00000223,0,2000,4,1
GPU,DOTVEC,0.00000882,1,2000,0,32
GPU,DOTVEC,0.00000892,1,2000,1,32
GPU,DOTVEC,0.00000923,1,2000,2,32
GPU,DOTVEC,0.00000968,1,2000,3,32
GPU,DOTVEC,0.00000952,1,2000,4,32
CPU,DOTVEC,0.00000000,1,2000,0,1
CPU,DOTVEC,0.00000000,1,2000,1,1
CPU,DOTVEC,0.00000000,1,2000,2,1
CPU,DOTVEC,0.00000000,1,2000,3,1
CPU,DOTVEC,0.00000000,1,2000,4,1
GPU,DOTVEC,0.00010034,0,4000,0,32
GPU,DOTVEC,0.00009956,0,4000,1,32
GPU,DOTVEC,0.00009976,0,4000,2,32
GPU,DOTVEC,0.00009957,0,4000,3,32
GPU,DOTVEC,0.00009978,0,4000,4,32
CPU,DOTVEC,0.00000450,0,4000,0,1
CPU,DOTVEC,0.00000446,0,4000,1,1
CPU,DOTVEC,0.00000446,0,4000,2,1
CPU,DOTVEC,0.00000446,0,4000,3,1
CPU,DOTVEC,0.00000446,0,4000,4,1
GPU,DOTVEC,0.00000907,1,4000,0,32
GPU,DOTVEC,0.00000930,1,4000,1,32
GPU,DOTVEC,0.00000968,1,4000,2,32
GPU,DOTVEC,0.00000971,1,4000,3,32
GPU,DOTVEC,0.00001129,1,4000,4,32
CPU,DOTVEC,0.00000000,1,4000,0,1
CPU,DOTVEC,0.00000000,1,4000,1,1
CPU,DOTVEC,0.00000000,1,4000,2,1
CPU,DOTVEC,0.00000000,1,4000,3,1
CPU,DOTVEC,0.00000000,1,4000,4,1
GPU,DOTVEC,0.00018876,0,8000,0,32
GPU,DOTVEC,0.00018822,0,8000,1,32
GPU,DOTVEC,0.00018817,0,8000,2,32
GPU,DOTVEC,0.00018739,0,8000,3,32
GPU,DOTVEC,0.00018746,0,8000,4,32
CPU,DOTVEC,0.00000894,0,8000,0,1
CPU,DOTVEC,0.00000890,0,8000,1,1
CPU,DOTVEC,0.00000890,0,8000,2,1
CPU,DOTVEC,0.00000890,0,8000,3,1
CPU,DOTVEC,0.00000890,0,8000,4,1
GPU,DOTVEC,0.00001465,1,8000,0,32
GPU,DOTVEC,0.00001232,1,8000,1,32
GPU,DOTVEC,0.00001229,1,8000,2,32
GPU,DOTVEC,0.00001325,1,8000,3,32
GPU,DOTVEC,0.00001344,1,8000,4,32
CPU,DOTVEC,0.00000000,1,8000,0,1
CPU,DOTVEC,0.00000000,1,8000,1,1
CPU,DOTVEC,0.00000000,1,8000,2,1
CPU,DOTVEC,0.00000000,1,8000,3,1
CPU,DOTVEC,0.00000000,1,8000,4,1
GPU,DOTVEC,0.00036492,0,16000,0,32
GPU,DOTVEC,0.00036558,0,16000,1,32
GPU,DOTVEC,0.00036506,0,16000,2,32
GPU,DOTVEC,0.00036452,0,16000,3,32
GPU,DOTVEC,0.00036495,0,16000,4,32
CPU,DOTVEC,0.00001811,0,16000,0,1
CPU,DOTVEC,0.00001779,0,16000,1,1
CPU,DOTVEC,0.00001786,0,16000,2,1
CPU,DOTVEC,0.00001843,0,16000,3,1
CPU,DOTVEC,0.00001779,0,16000,4,1
GPU,DOTVEC,0.00000985,1,16000,0,32
GPU,DOTVEC,0.00000948,1,16000,1,32
GPU,DOTVEC,0.00001042,1,16000,2,32
GPU,DOTVEC,0.00000958,1,16000,3,32
GPU,DOTVEC,0.00000933,1,16000,4,32
CPU,DOTVEC,0.00000000,1,16000,0,1
CPU,DOTVEC,0.00000000,1,16000,1,1
CPU,DOTVEC,0.00000000,1,16000,2,1
CPU,DOTVEC,0.00000000,1,16000,3,1
CPU,DOTVEC,0.00000000,1,16000,4,1
GPU,DOTVEC,0.00072487,0,32000,0,32
GPU,DOTVEC,0.00072494,0,32000,1,32
GPU,DOTVEC,0.00072456,0,32000,2,32
GPU,DOTVEC,0.00072410,0,32000,3,32
GPU,DOTVEC,0.00072468,0,32000,4,32
CPU,DOTVEC,0.00004138,0,32000,0,1
CPU,DOTVEC,0.00003557,0,32000,1,1
CPU,DOTVEC,0.00003557,0,32000,2,1
CPU,DOTVEC,0.00003557,0,32000,3,1
CPU,DOTVEC,0.00003557,0,32000,4,1
GPU,DOTVEC,0.00001096,1,32000,0,32
GPU,DOTVEC,0.00001088,1,32000,1,32
GPU,DOTVEC,0.00001110,1,32000,2,32
GPU,DOTVEC,0.00001061,1,32000,3,32
GPU,DOTVEC,0.00001054,1,32000,4,32
CPU,DOTVEC,0.00000000,1,32000,0,1
CPU,DOTVEC,0.00000000,1,32000,1,1
CPU,DOTVEC,0.00000000,1,32000,2,1
CPU,DOTVEC,0.00000000,1,32000,3,1
CPU,DOTVEC,0.00000000,1,32000,4,1
